"SKU","DESCRIPTION","SKU_FAMILY","BOX_CODE"
"90209","SI,B0V209,IMG,WXP,GX270,BCC","Miscellaneous",""
"7W447","BRKT,LF,LCD,TCH,XPS,L401X","Mechanical",""
"XW49X","SUBASSY,CD/FD,24X,V3,TSHBA,I7K","Miscellaneous",""
"4M614","ASSY,KYBD,PLMRST,81,BRAZ,3157R","Keyboard/Mouse",""
"D460D","ASSY,BZL,LCD,1U,R640,MN,UNITYX","Plastics",""
"JP42J","ASSY,CVR,W/ANT,SLVR,CEDAR17","Cover","4U500B"
"CN52C","PRC,4116,2.1,16.5MB,SKL,M0","PRC","GKCMD"
"95609","CUS,BTRY,85WHR,9C,SIMPLO","Battery",""
"XP51X","MOD,CVR,BK,RGB,GRAY,M4600","Miscellaneous",""
"ND69N","PWA,PLN,N20E,I9-12900H,V,5770","Motherboards",""
"JC49J","SI,CRD,PCIE,AT-2711FX/SC-901/H","Card",""
"W360W","MOD,PLMRST,SLVR,84,7347/8","Miscellaneous",""
"R218R","FGA PROXY,PH4186B,BTS","Base Unit",""
"3R563","SI,CRD,1394,SIIG,Y203R","Card",""
"1V321","ASSY,CVR,LCD,TOP,MAG,L400","HUD",""
"7T737","ASSY,CHAS,L10,FX170,WES9,APJ","Mechanical",""
"83588","SI,975716,KIT,CDRST,DMS","Miscellaneous",""
"KN52K","MOD,LKEY,FEDMT,CLIC,UPGRD,100","Miscellaneous",""
"7T737","KYBD,83,SWI,M16NSC-UB","Keyboard/Mouse",""
"73197","PWA,INTFC,BKPLN,2X3,PASS,ULT2","Backplane",""
"YJ43Y","ASSY,CRD,PLN,RIO/LOM,R650,V4","Motherboards",""
"2P722","CORD,PWR,250V,2.5A,1M,C7,BRAZ","Cable",""
"H436H","ASSY,HD,4T,NL,7.2,3.5,HIT,FRU","HDD","H1053"
"90969","FD,5H,F5,HH,NN,PSNC","Miscellaneous",""
"VK96V","ASSY,BASE,DIS,U2417H,DAO,WOST","FPD",""
"XC39X","MOD,CDRW,I,8X,SONY,M,W95,GX1","Miscellaneous",""
"Y861Y","CUS,INFO,CRTR,DT,TERM,1,31MTH","Miscellaneous",""
"76737","BTRY,CCC,6C,LITH,SIMPLO","Battery","1W217"
"6T436","MOD,CD,CDRW,I,SND,LXXXC,EAST","Miscellaneous",""
"00790","SVC,KIT,F5,PS,24-7,PPP56,BCC","Miscellaneous",""
"1D391","ASSY,RMS,LS120,I,MKE,CP","Miscellaneous",""
"01740","MOD,SW,WXPPSP2,PWS,HEB,NDD,EMF","SW",""
"2T352","SRV,SW,TPAD,W98,NBK,I7500","SW",""
"P051P","ASSY,DOOR,BTM,WCD,2IN1,3330","Mechanical",""
"7C437","ASSY,PLMRST,MIN,NTC,US-EN,NBL","Palmrest","4U500B"
"J541J","CBL,BMC,MGM,ZEUS","Cable","Envelope"
"85438","MOD,HD,120GB,5.4K,SFX,H080,VOS","HDD",""
"6T466","LBL,COA,WS8FE,POD,SCHI","Miscellaneous",""
"JT31J","CUS,SW,OFCPRO2010T,FTRK,FR,EME","SW",""
"G572G","BASE,4U,CHAS,BLDE,RX4","Mechanical",""
"4M834","FGA,TBLT 7040,BTS","Base Unit",""
"79207","MOD,DVD+RW,2X,TKB,I,PHPS-CP","Miscellaneous",""
"D247D","SVC,ASY,BASE,M3,4,128,SP,KOR","Base Unit",""
"09930","SVC,HD,100GB,5.4K,MDRT,9400","HDD",""
"3K803","ASSY,RACK,PDU,208V","Mechanical",""
"7W637","ASSY,CVR,LCD,IMR 14,EXCH,N7110","HUD","4U500"
"79827","CTRG,TONR,8K,CYAN,5100","Mechanical",""
"14571","HD,170M,I,F3,HH,NN,WD,R.A7","HDD",""
"N430N","SVC,ODD,DVD+/-RW,SNO,1750","Miscellaneous","02087_A07"
"3F853","BASE,SWT,24PRT,FC8,8G,300,BRDE","Base Unit",""
"4D944","CBL,VGA,110MM,3630","Cable","Envelope"
"5M875","ASSY,PWA,PLN,M605,ROW","Motherboards",""
"34833","CUS,INFO,SN,CRTR,25VMM,1YR","Miscellaneous",""
"K393K","KYBD,104,ARA,AW768,CHI","Keyboard/Mouse",""
"2D312","TSH,HD,I3500,WEST","Miscellaneous",""
"39533","SVC,PFR,MXT,HDD,FC063,EMEA","Miscellaneous",""
"15771","ASSY,KYBD,82,THAI,ARAL","Keyboard/Mouse","4U500B"
"1T311","LBL,RTL,HYB,14X,BCC,2816","Miscellaneous",""
"86198","SI,D+,CUS,KIT,DIS,17,SCRN FIL","Miscellaneous",""
"1R621","CRD,MM,FUNCTION KEY STRIP,HALO","Card",""
"10301","SI,ORHW,CRD,GRPH,EX-PH376","Card",""
"V856V","ASSY,BTN,PWR,LED,HDD,620","Mechanical",""
"9C849","LBL,RTL,INSP,15XX,BCC,4789","Miscellaneous",""
"J576J","SHP MTL,SYSM,PAD,NB,XPS","Miscellaneous",""
"24292","ASSY,CBL,LCD,X1,ULD","Cable",""
"57135","CVR,CAP,SLVR,LT,NT,7570","Cover","4U500B"
"8N648","MOD-THRM,95W,MNSTRM,MNTW/SLTW","Miscellaneous",""
"XH38X","MOD,CDRW,FD,8X,SONY,I7500","Miscellaneous",""
"16601","CUS,PRC,XDH,L5430,2660,2900III","PRC",""
"19121","KIT,DS,W/CORD,D/PORT,CCC","Port Replicator",""
"76697","PRC,AMD, A9-9400,3.2G,10W","PRC",""
"4R424","ASSY,PLMRST,IMR,CHAIN,SLV,PHEL","Palmrest","4U500B"
"RM59R","SWT BOX,VMW,EDGE3400,TPM,V2","PWR CNT",""
"DX48D","ASSY,LCD,TCH,BOE,TPK,5250","HUD",""
"03730","PWB,I/O,PNL,LED,REAR,XPS,630","Card",""
"JD12J","SWT BOX,64P,2QSFP,N4064,TAA,V2","PWR CNT",""
"08710","CRD,GRPHC,256MB,I9400,G71","Card","D237D"
"49304","SI,HD,40G,SATA,SGT,D#TH732","HDD",""
"36663","CORD,PWR,250,2M,C5,3P,D,RUS","Cable","Envelope"
"W811W","SVC,PLN,I35005U,D2,34/558,W8H","Motherboards",""
"71987","BZL,LCD,PLSTC,NBK,M2010","Plastics","4U500B"
"Y029Y","ASSY,PWA,PLN,I711370,G5,CRS,N4","Motherboards","4U500"
"V728V","SVC,PLN,I55200,4,2.2,15W,W8.1H","Motherboards",""
"RV96R","MOD,ASSY,BASE,NBK,TPM,X,L6,E54","Miscellaneous",""
"15491","CUS,DVD,16X,HH,TSST,DIM,MG","Miscellaneous",""
"RY42R","SI,ORSW,MOD,NER0,9","Miscellaneous",""
"1M651","ASSY,PWA,PLN,I5-10210U,D,8G,V5","Motherboards","4U500"
"68406","RDR,MAGTAK,STRIPE,MINI,BLK","Miscellaneous",""
"52535","SUBASSY,HD,40GB,5.4K,ARSB,9400","HDD",""
"N958N","DVD+/-RW,8X,SATA,12.7T,PLDS","Miscellaneous","02087_A07"
"94599","BASE,S1URK,PWRCNT2016,LTN","Base Unit",""
"99569","CBL,WWAN BD,3420","Cable","Envelope"
"V552V","ASSY,PWA,I/O,W/RTC,MKBN14","Motherboards","GKCMD"
"53765","BRKT,LTCH,SHLD,PCI,TANK","Mechanical",""
"9M319","SVC,PLN,NO-TPM,PE2970","Motherboards","4U500"
"60516","PLCMT,STUP,EHPGCP,810","Mechanical",""
"WX79W","SUBASSY,HD,250G,7.2,FIPS,M4500","HDD",""
"7V777","ASSY,PWA,NBK,I5-4200,D,5470","Motherboards","4U500"
"3P333","CUS,SPKR,22V,ZLX,AY410T1","Miscellaneous",""
"31233","TRAY,W/BZL,HD,600M","Mechanical",""
"80838","PTR,IJ,P703W,AIO,ENG","Miscellaneous",""
"X720X","MOD,INFO,UPG,SMPA,EXCH,MINING","Miscellaneous",""
"0R620","TSH,INSTL,ZIP250,ATAPI,WEST","Miscellaneous",""
"W896W","ASSY,CMRA,5MP,MDLR,FRT,MIPI,L2","Miscellaneous","GKCMD"
"0D490","ASSY,CAGE,MET,CRD,SMRT,E4300","Mechanical",""
"3P213","MOD,SW,OFCHS-2K7,ANW,TUR","SW",""
"NR10N","KIT,SW,W10,H64,DUSBRS5,EM,SCHI","SW","Envelope"
"34103","ASSY,CBL,STARDUST,TANK/MSMT","Cable","Envelope"
"C337C","ASSY,PLMRST,DUNE,NTC,HUN,BL","Palmrest","4U500B"
"87798","MOD,SW,VU64,PWS,SPN,EMF,NDD","SW",""
"MC49M","CUS,SW,RHEL,6,4SKT,5YR","SW",""
"51785","HD,146GB,S,U320,10K,68P,SGT","HDD",""
"48274","SI,CUS,ADPT,PWR,AUTO/AIR,BCC","Miscellaneous",""
"Y760Y","ASSY,KYBD,W/PLMRST,GRE,G17","Keyboard/Mouse",""
"J523J","SVC,LCD,15.6FHD,IPS,BZL,LGD","LCD",""
"8F128","BTRY,ADDL,85WHR,9,LITH,SIMP,OR","Battery",""
"6N646","PWR SPLY,HVPS,2145CN","PWR SPLY",""
"8N138","ASSY,CBL,STK,3M,PWRCNT,M6348","Cable",""
"74697","MOD-THRM,XNPAX,TMD,PWS","Miscellaneous",""
"XV35X","CDSK,BIOS,FLASH,LATUDE","SW",""
"06470","PWA,PDB,LVPS,230V,5100CN","Motherboards","D237D"
"67886","OVKT,SQL2K,SP4,WKGP,5CLT,JPN","Miscellaneous",""
"67926","BRKT,SPRT,MET,PCI","Mechanical",""
"D287D","ASSY,FAN,40X40X56,RAF,XR4000","FAN",""
"50685","BTN,PWR,NBK,X1,ULD","Mechanical",""
"R671R","SI,LBL,COA,OS,VHB32,D#R747C","COA",""
"21762","ADPT,CRD,CF,FAX/MDM,PDA,BCC","Adapter",""
"NW79N","ASSY,KYBD,PLM,GR,SBL,SPN-C,N4G","Keyboard/Mouse",""
"T410T","MOD-SRV,SW,NTWK,62/300,L5/701X","SW",""
"40704","SUBASSY,HD,80GB,7.2K,MRGP,LGT","HDD",""
"YK12Y","SI,520402,SW,IMAGE,W2K,GX110","SW",""
"5P175","ASSY,CVR,BK,IMR,ICE BLUE,1440","Cover","4U500B"
"6D776","KIT,MEDIA,DVD,RDVD,CEDAR HSW","Miscellaneous",""
"8P248","ASSY,PLMRST,RED,US,80,DRAX","Palmrest",""
"VT24V","MOD,INFO,SN,4SKT,3YR,VIS SSC","Miscellaneous",""
"V456V","ASSY,BASE,DIS,P2719H,CCC4,ES8","FPD",""
"G213G","KYBD,82,FR-CAN,M14ISFBP,E9","Keyboard/Mouse",""
"62286","SI,B04V,INFO,LBL,MED","Miscellaneous",""
"37843","KIT,DOC,SHIP,P2650,DAO","Miscellaneous",""
"26502","SI,967710,MOD,CDRST,BCC","Miscellaneous",""
"0U910","TB,20/40G,DDS4,HH,SGT,PWS","TBU",""
"XG36X","ASSY,DOOR,BTM,INSP,7557","Mechanical","4U500B"
"1J811","FGA PROXY,PH4243B,BTO","Base Unit",""
"9P379","ADPT,AC,45,CHNY,SF,PD3,E5 XPS","Adapter","Envelope"
"60626","SI,947904,MOD,IMG,W2K,GOV","Miscellaneous",""
"8R228","KYBD,105,USB,RUS,CRDR,KB813","Keyboard/Mouse",""
"9N469","DIS,FPL,E170SB,BLK,CCC","FPD",""
"4J974","DIS,FPL,1908B-BLK,BLK,APCC/CC","FPD",""
"65926","KIT,SPKR,ACS290,ALTEC,220V,EMF","Miscellaneous",""
"93449","STRG,MEDIA,HDD,80GB,RD1000,SVC","Miscellaneous",""
"FV54F","SVC,MEM,DDR2,1G,QIMONDA","Memory",""
"29612","DIMM,256,32X72,8,240,1RX16PERC","Memory","GKCMD"
"8H878","PRC,Q9550,2.83,12MB,YOR,65W,E0","PRC",""
"MT53M","ASSY,CBL,BLTH,INT,RN0L/LE","Cable","Envelope"
"33483","MOD,MDM,SON3,LPF,DIM,P9637,BCC","Miscellaneous",""
"1H161","HD,400G,S2,5.4K,2.5,TSHBA-LIBR","HDD","GKCMD"
"7H207","KIT,MEDIA,DVD,RDVD,54/557","Miscellaneous",""
"YP51Y","SVC,ASSY,HNG,LCD,NBK,1564","Miscellaneous",""
"02570","LBL,MS,VSTA,PREM,DT","Miscellaneous",""
"MJ78M","LBL,COA,OS,VHB32/64SP2-A,RUS","Miscellaneous",""
"J277J","ASSY,KYBD,82,UK,US,SLR,N5301","Keyboard/Mouse",""
"XX96X","ASSY,ANT,DUMMY,SVC,7200D","Mechanical",""
"VJ19V","ASSY,BASE,DIS,S2319NX,EMEA,RTL","FPD",""
"X874X","CUS,CART,MGD,2100,ERGO,US/FR","Miscellaneous",""
"85138","PWB,PLN,MN,PORT,630M","Motherboards",""
"TC26T","CVR,BTM,NTCH,AIO,7760/5720","Cover","4U500B"
"7N457","KIT,STY,ACTV,RGD,PN720R,EMEA","Miscellaneous",""
"0F630","ASSY,CBL,SFP+,PA-CBL,CPLNT,5M","Cable",""
"0F740","HD,80GB,S2,9.5,5.4K,SGT-CRKT","HDD",""
"63566","PWR SPLY,220V,AC/DC,EUR","PWR SPLY",""
"6F796","KYBD,102,SPN-LAC,BLK,ENDB","Keyboard/Mouse",""
"GC78G","KYBD,82,GRE,M14ISU","Keyboard/Mouse",""
"K864K","ASSY,TPAD,EDEN,W/BRKT,MKBN14","PAD","02087_A07"
"6H916","CBL,DATA,RJ45,FL,SER,SWT","Cable","Envelope"
"71187","BDG,OPPLX,GXMT 5166,PRFM","Miscellaneous",""
"0K520","MOD,LCD,CVR,RED2,1537","LCD",""
"FR79F","BASE,PTR,LS,CC,TAA,HV,B5465","Base Unit",""
"18771","ADPT,AC,45W,LTON,4.5,L6,V2,E5","Adapter","Envelope"
"9K149","KYBD,102,SPN-C,C12N","Keyboard/Mouse","1W217"
"D968D","PWA,PLN,MN,TM/TL,DTP,E5430","Motherboards","4U500"
"VP23V","FGA,INSP LPT N5110,BTP","Base Unit",""
"56635","SVC,PRC,2.8G,533,PSC,THRMGRS","PRC","GKCMD"
"87968","LBL,REG,I2650,EMEA","Miscellaneous",""
"DM62D","ASSY,CBL,QSFP28,100G,AOC,30M","Cable","Envelope"
"4D674","LCD,TFT,12.1,3.3V,CPA,SHARP","LCD",""
"WY25W","KIT,MSE/KYBD,JPN,KM714,CHI","Keyboard/Mouse","1W217"
"78337","SVC,PRC,351,SKT-T","PRC",""
"N247N","KYBD,86,GRE,CULVQ","Keyboard/Mouse",""
"37593","SVC,PLN,NBK,2350M,T,N,E6330","Motherboards",""
"87928","CUS,INFO,UPG,DTARC,CAL1,1YR","Miscellaneous",""
"4N214","SVC,PLN,I5-5200U,U,34/558,W8P","Motherboards",""
"51965","KYBD,105,USB,RUS,ULD,LTON","Keyboard/Mouse",""
"K214K","ASSY,BASE,UMA,NBK,BCC,3500","Base Unit",""
"79987","MOD,LKEY,CXDP,10,3YR,ENG","Miscellaneous",""
"NE59N","MOD,SW,OFCSBE-2K,DFAT,US,LAT","SW",""
"61226","SRV,SW,MEDIA,DIRECT,II,BBD","SW",""
"13911","ASSY,BASE,PTR,V305,AIO,ENG","Base Unit",""
"GH86G","BASE,RACK,FRM,GND,42U,DCSL","Base Unit",""
"02500","MOD,SW,MY-DELL,3.X","SW",""
"KW67K","MOD-SRV,SW,WIDI,ANW,M14X","SW",""
"00640","BZL,WALL,BK,PLSTC,AMEA","Plastics","4U500B"
"2N192","PWA,PLN,DSV,EXCRD,E6400,DTP,V3","Motherboards","4U500"
"0F720","MOD,KYBD,84,SPN-LAC,BLK,DAO","Keyboard/Mouse",""
"48134","ASSY,CBL,INTFC,LED,SCSI,PCI","Cable",""
"T486T","KYBD,107,DAN,M14IXFBP","Keyboard/Mouse",""
"13361","ASSY,LCD,HUD,FHD,M-BLUE,T,G15","HUD","4U500"
"0J570","KYBD,83,GER,S-PTG,YM,WIN","Keyboard/Mouse","1W217"
"8D278","ASSY,PWA,PLN,DSV,INTEL,D630C","Motherboards",""
"88768","PRC,P8600,2.4,3MB,CPEN,25W,M0","PRC","GKCMD"
"JT93J","ASSY,KYBD,PMRST,CZE/SL,N5,S BL","Keyboard/Mouse",""
"44434","ASSY,BASE,PTR,948,AIO,ENG,RED","Base Unit",""
"03480","SVC,CDRW/DVD,650M,SONY,M2,WEST","Miscellaneous",""
"45464","SI,MOD,IT141-00,SW,GST,W2K,PLX","SW",""
"2E542","HTSNK,20 FLDFN,SEPP,DIM","Heatsink",""
"J048J","SVC,LCD,N-T,WLAN2X2,WWAN,E7270","LCD",""
"91479","GSKT,EMI,PWA,ODD,MND,OPTI","Mechanical",""
"74377","CRD,PLN,DT,400,MB","Motherboards","4U500"
"MW67M","CTRG,INK,LXK,70,BLK,RFRB","Mechanical",""
"87758","ASSY,DVD,8X,INT,I1K","Miscellaneous","02087_A07"
"26512","PWR SPLY,320W,RDNT","PWR SPLY",""
"1R801","KIT,SW,MCAF,ANW,CD,BPOR","SW",""
"0R790","MOD,LKEY,SMPA,CAGT,VRTL,ND","Miscellaneous",""
"YJ76Y","ASSY,PWA,PLN,A3150U,BULLSEYE","Motherboards",""
"43434","SVC,HD,QTM,30GB,PV705","HDD",""
"20662","SVC,PWA,AUDIO,CP","Motherboards",""
"31923","KIT,RCKRL,RAIL,2U,ST,TL2000","Mechanical",""
"68406","MOD,SW,VHB32,VUA,TSH,ENG,DAO","SW",""
"MP22M","CBL,CNTL,LSI9260,BP,1MB,X3.5","Cable",""
"PH10P","ASSY,MECH,BLANK,0HDD,LEFT","Mechanical",""
"DC19D","MOD,INFO,TWR","Miscellaneous",""
"73557","SVC,PRC,915,2.8,2X2MB,PDPR,C1","PRC","GKCMD"
"RP43R","ASSY,KYBD,PMT,RUS,MN5,MT NBL","Keyboard/Mouse",""
"37863","SHRD,KYBD,JPN,86,S-PTG,E5450","Mechanical",""
"D947D","SVC,PLNR,SV,NTPM,T620,V2","Motherboards",""
"YW87Y","ASSY,PWA,PLN,BATRY,CEDAR 17","Motherboards","GKCMD"
"XD14X","ASSY,PWA,PLN,I55250,U,TULIP","Motherboards","4U500"
"N914N","HD,500G,512E,7,MN500SH-2,SSH16","HDD",""
"01760","FILLER,PNL,FAN,ML6000","Miscellaneous",""
"J722J","ASSY,PWA,PLN,I7,NV,D,16,7300","Motherboards","4U500"
"W154W","ASSY,LBL,REG,FCC2,R320,BCC","Miscellaneous",""
"6Y826","ASSY,KYBD,PR,THAI,WHT,P","Keyboard/Mouse",""
"6G696","ASSY,PLMRST,PLSTC,SPEARS","Palmrest","4U500B"
"24732","ASSY,PLMRST,BLUE,N515,BL,US","Palmrest",""
"87248","ASSY,BRKT,HDD,MYLAR,3147","Mechanical","Envelope"
"C967C","KYBD,83,SVN,M21ISF-BR","Keyboard/Mouse",""
"01300","MOD,SW,VB32,MPWS,TCHI,APCC,NDD","SW",""
"MR33M","ASSY,PWA,PLN,R5-3500U,U,R,VICC","Motherboards",""
"G890G","MOD,INFO,BTM,DVD,NIRVANA","Miscellaneous",""
"CG34C","MOD,LKEY,VCNTL,3YR,4-SKT","Miscellaneous",""
"1U691","SUBASSY,DVD,SW,6X\FD,SANYO,I7K","SW",""
"50585","PWA,PLN,D-M3,I7-1280V,3571,2ND","Motherboards",""
"3M903","SI,DIPOL1,MOD,INFO,LBL,LGE,BCC","Miscellaneous",""
"XX68X","SSDR,3.8T,2E,IS12,2.5,T-5RI,EC","SSDR","GKCMD"
"4T444","SWT BOX,48PRT,1GBE,N3048","PWR CNT",""
"6C896","ASSY,HTSNK,W/FAN,UMA,7750","Heatsink","1W217"
"5G485","CRD,CTL,NVME,2T,HHHL,PB5C700,Z","Card",""
"7G787","SUBASSY,HD,160G,7.2,TSHBA,DIAZ","HDD",""
"6N876","SHIP,TBLT,WRLES,LKD,B,16G,STK","Miscellaneous",""
"10861","BTRY,PRI,11.1V,6C,CYLD,PSNC","Battery","1W217"
"50135","CVR,SCTY,SDE,PLSTC,PHISH,ORNG","Cover",""
"MR93M","ASSY,CBL,FFC,MEDIA-BD,E7440","Cable","Envelope"
"J726J","ASSY,PWA,PLN,AW17R1,AMD GFX","Motherboards","4U500"
"VM87V","KYBD,83,SPN,BLK,1120/21,EMEA","Keyboard/Mouse",""
"1F671","KIT,KYBD,105,BEL,KB522,PMX","Keyboard/Mouse",""
"5P685","SI,AIS,ADPT,CON,VID,D#F388M","Miscellaneous",""
"3D893","ASSY,LCD,HUD,F500N,MIC,WL,767#","HUD",""
"15171","SI,EMEA,CUS,KIT,MAMUT,UN738","Miscellaneous",""
"06180","SUBASSY,CDRW/DVD,24X,PSNC,SIDE","Miscellaneous",""
"2C882","ASSY,CVR,BK,NBK,PIC 6,HEPURN","Cover",""
"1J731","SVC,PLN,DT/MT,3010","Motherboards",""
"XX90X","KIT,KYBD,104,USB,CZE,KB813","Keyboard/Mouse","1W217"
"56565","CUS,CDRW,48X,SMSNG,PWS,01,REV2","Miscellaneous",""
"C721C","PWA,BKPLN,GPU,TTNM,DCS4100","Backplane",""
"23912","MOD,INFO,NO MEDIA,ML6000","Miscellaneous",""
"3R133","PWA,PLN,SP9600,DTP,LATON,MKP","Motherboards",""
"10651","KIT,MDM,WRLES,MBLBB,5550,BCC","Modem",""
"J462J","KYBD,87,SLOV,EMEA,BLIT","Keyboard/Mouse",""
"93199","KIT,SW,OFCBSC-2K7,SCHI","SW",""
"24242","BTRY,PRI,14.8V,8C,LITH,SNYO","Battery","1W217"
"JH65J","SSDR,1TB,P34,80S3,SMSNG,PM981","SSDR","GKCMD"
"7W157","ASSY,CBL,MB,C4,GPU,RSRR,R750XA","Cable","Envelope"
"44234","BTRY,PRI,37WHR,4C,LITH,SIMPLO","Battery","1W217"
"98789","STND,DIS,HSCALE,MKS14,JPN","Miscellaneous",""
"61666","SI,NASD,ASSY,KIT,APR,D/PORT.DA","Miscellaneous",""
"19161","DIS,FPL,19,P1917SF,BLK,DAO","FPD",""
"WG46W","PWA,PLN,UMA,TPM,MXM,E5510","Motherboards","4U500"
"3G553","PWR SPLY,550W,RDNT,DELTA,V2","PWR SPLY","9U307"
"89878","GDE,SFTY/REG,D505,DAO/BCC","Mechanical",""
"2Y462","SVC,LCD,15.6HDF,TL,EDP,OTP,SEC","LCD",""
"F390F","ASSY,BASE,DIS,AW2720HF,EMEA","FPD",""
"66686","SVC,ASSY,PWA,PLN,DIS,1G,2420","Motherboards",""
"XG79X","ASSY,BASE,DIS,U2422HX","FPD",""
"2F422","CVR,LCD,5190","Cover",""
"31593","KIT,INSR,BLK-LTHR,I4150,WEST","Plastics",""
"CY33C","PWA,PLN,T,UMA,WVI5-8365U,5410","Motherboards","4U500"
"62716","SIMM,256K,80N,256X9,PM,30,FED","Miscellaneous",""
"V952V","ASSY,CRD,PLN,SLED,MX740C","Motherboards","GKCMD"
"89538","KYBD,120,BLK,TRK,2,TPAD,G80","Keyboard/Mouse",""
"67816","OTLT,PDU,4,120V,24A,IEC","Miscellaneous",""
"T615T","DIS,FPL,22,P2217T,BLK,ANZ","FPD",""
"42374","KIT,MEDIA,DVD,DRVR,RDVD,1735","Miscellaneous",""
"3P223","MOD,SW,OFCSBE-2K7,ANW,SPN,EMEA","SW",""
"76617","ASSY,BZL,CSMTC,P650,CISCO-HSE","Plastics",""
"KD10K","SVC,CVR,BK,PIC,STKR1,GRN,1010","LCD","4U500"
"P956P","KYBD,75,UK,ENG,CRMBK 11","Keyboard/Mouse",""
"H622H","ASSY,PLMRST,VANGOGH 14 RED","Palmrest","4U500B"
"GD30G","ASSY,KYBD,80,US,ENG,M16US,GREY","Keyboard/Mouse",""
"HH20H","ASSY,HTSNK,CPU,94MM,FC830","Heatsink",""
"24342","IC,80521EX,PGA387,180M,256K","Miscellaneous",""
"10781","ASSY,DVD+/-RW,8X,SONY,M1210","Miscellaneous","02087_A07"
"8H518","ASSY,BASE,3001,UB,4G,ROW,OEM","Base Unit",""
"TY67T","PWA,PLN,T,U,VI5-730,529,3,IM,2","Motherboards","4U500"
"PN20P","KYBD,84,6P,GER,TBALL,RACK","Keyboard/Mouse",""
"38473","MOD,SW,3R23BP,SP2,DOC,FR","SW",""
"P681P","MOD,SW,WS8XEEA,SP2,FI,ENG","SW",""
"J036J","PRC,SKL-X,I9-7980XE,18C,165WM0","PRC","GKCMD"
"32903","SI,G0193R,MOD,MDM,DW5520,SWISS","Modem",""
"25182","PWA,PLN,MSMT,DT,OEM,OPTI,740","Motherboards",""
"5M475","MOD,CRD,NTWK,370,FXCN,ANW,DAO","Card",""
"91429","GDE,OWNR,INSP,1526,ENG","Mechanical",""
"WH80W","ASSY,BASE,DIS,AW2518HF-S,CCC4","FPD",""
"39383","KIT,CBL,F2,HSSDC2HSSDC2,8M,EMC","Cable","CFX79"
"81458","KIT,DOC/CDSK,DOM,V4.5,WW","Miscellaneous",""
"VM90V","PWA,PLN,NBK,3380M,DTP,E6330","Motherboards",""
"7X167","AW,LBL,REG,NBK,1520,BCC/ICC","Miscellaneous",""
"84298","ASSY,PWA,KI5-8350U,T,DTP,7490","Motherboards","4U500"
"WT98W","CRD,CTL,6.4T,HHHL,P4608,LP,Z","Card","1W217"
"7J197","SVC,DVDRW,8X,NEC,LS","Miscellaneous",""
"68186","GRMT,RBR,BOOT,MCPHN","Miscellaneous",""
"74717","SVC,PFR,MON,2007FP,CLR-BND","Miscellaneous",""
"3T153","LBL,RTL,INSP14Z,5423,WMT,61281","Miscellaneous",""
"T371T","LBL,REG,WRLES,1000,BCC","Miscellaneous",""
"06670","MOD,SW,WXPPSP1,ENG,OPTI,CCC","SW",""
"5V585","ASSY,LCD,HUD,10,CF,6R,F2,PCB,7","HUD",""
"73447","CRD,GRPHC,ATI,X1900,MASTER","Card",""
"58985","SI,CRD,NIC,PCI,IFB,TOPSPIN","Card",""
"65896","DIS,FPL,15,D,1504FP,RJ,MG,AUS","FPD",""
"70427","MOD,DVD+RW,4X,TKB,HLDS,DIM","Miscellaneous",""
"76257","PLCMT,GETS,DIM4400,DAO,BCC","Mechanical",""
"VP93V","OVKT,WS2012,DE,MUI,ROK","Miscellaneous",""
"50525","SI,B40201,MOD,IMG,WXP,BCC","Miscellaneous",""
"52395","CVR,PLSTC,PORT,I/O,100N","Cover",""
"9X979","BZL,LCD,NT/TCH,INF,IRCMR,7490","Plastics","4U500B"
"H180H","ASSY,PLMRST,BLK,TC,ARA,NBL,C","Palmrest","4U500B"
"4K484","MOD,KYBD,86,US,ENG,ILSB,HANKS","Keyboard/Mouse",""
"EG53E","SI,452801,MOD,SW,IMAGE,W98","SW",""
"80248","SVC,PRC,3.2GHZ,1M,800FSB","PRC","GKCMD"
"KR88K","CBL,USB,FFC,3410","Cable","Envelope"
"0T240","KIT,SW,LKEY,VMVP,5.0,10,3YR","SW",""
"1C301","DIS,FPL,22,2208WFP,WOST,EMEA","FPD",""
"GD23G","ASSY,BASE,DIS,P2422HE,DTA,DD","FPD",""
"88278","ASSY,BASE,BTM,MAG,CVR,9300","Base Unit",""
"EW70E","SUBASSY,HD,6.4GB,9.5M,IBM,LS","HDD",""
"15411","PRC,I3-370M,2.4,3MB,ARN,K0","PRC","GKCMD"
"TT31T","ASSY,CBL,INTFC,MB,CTL,1U,DSS","Cable","Envelope"
"6H106","SSDR,16G,PATA,8GX2,INTEL","SSDR","GKCMD"
"NW59N","KYBD,105,BPOR,C12N,WIN8","Keyboard/Mouse",""
"NM32N","BZL,T/NT,IRP CMRA+MIC,5520/356","Plastics","4U500B"
"0P800","MOD,ASSY,BASE,I5-2410M,V131","Miscellaneous",""
"9J849","KYBD,80,US,ENG,M14NSCB","Keyboard/Mouse","1W217"
"1C301","ASSY,BASE,I7,16G,1TB,WLAN,SPN","Base Unit",""
"9P559","KIT,SW,OFCPRO-2K7,ANW,SWE","SW","Envelope"
"TT32T","HD,4T,S12,7.2,512N,3.5,T-TR,EC","HDD","H1053"
"6R576","KIT,SW,VU64SP1,DVD,ANW,SWE","SW",""
"C457C","CORD,PWR,2.5A,1M,C5,E5,GEN2,EU","Cable","Envelope"
