"SKU","DESCRIPTION","SKU_FAMILY","BOX_CODE"
"WN19W","ASSY,BRKT,PCI,LG","Mechanical",""
"J665J","ASSY,KYBD,102,SVN,W/FR,NBLT","Keyboard/Mouse",""
"00340","TV,LCD,23,W2306C,DAO","FPD",""
"FY44F","ASSY,PLMRST,DUNE,TC,ITL,NBL","Palmrest",""
"CG15C","ASSY,GSKT,DIM,4100","Mechanical",""
"7P337","CUS,SERV,SMTN49M4,EMEA,R24X7X4","Miscellaneous",""
"4W304","ASSY,CBL,HDD,AIO,2730","Cable",""
"G050G","SVC,PLN,I3-370M,N/LATON,E4310","Motherboards",""
"3F593","MOD,SW,TRND,16.6,36MTH,FR","SW",""
"Y482Y","ASSY,CVR,RMVBL,DT,9010","Cover","4U500B"
"7H427","KIT,SW,OFCHB-2010T,MPI,SPN,DAO","SW",""
"TE32T","ASSY,ENCL,FD,TEAC,G","Mechanical",""
"91569","SCR,M2X5,PHH,MSCR,BLO,NYLK","Mechanical","Envelope"
"0H100","ASSY,BRKT,PCIE,RAIL,542X","Mechanical",""
"3F593","PWA,PLN,DSV,I5-4300,NF,V1","Motherboards","4U500"
"9W729","ASSY,CBL,LVDS,5560","Cable","Envelope"
"4H394","ASSY,PWA,I5V16G,TBT,DTP,5290D","Motherboards",""
"DD31D","SWT BOX,32P,PS/IO,DNOS,S6K-ON","PWR CNT",""
"79957","KIT,SW,OVPK,WXPPSP2,CDWD,TCHK","SW","Envelope"
"MP86M","ASSY,KYBD,W/PLMRST,UK,3147","Keyboard/Mouse",""
"9P749","PWA,PLN,SV,XDN,XAN2","Motherboards",""
"JX97J","BDG,DIM,L667R","Miscellaneous",""
"F792F","PWA,PLN,MB,PWS,3640,BCC","Motherboards","4U500"
"68796","KYBD,105,SLOV,SLTEK,LC,MG","Keyboard/Mouse",""
"N693N","ASSY,PLMRST,BLK,NTC,HEB,BL","Palmrest","4U500B"
"0T380","SCR,M2.5X6,FPH,MSCR,BLO,Z600","Mechanical","Envelope"
"KY32K","PWA,PLN,DSV,I5-4300U,TAA,E5440","Motherboards","4U500"
"60936","PWA,DTRBD,DRAC4,SV,DELL,V3","DB","GKCMD"
"9R889","PLCMT,STUP,PWREDG,2,WEST","Mechanical",""
"Y062Y","ASSY,BASE,SVC,LV,TAA,B5460DN","Base Unit",""
"96899","PRC,80546,3.2G,1M,800,SKTN,1.0","PRC","GKCMD"
"Y782Y","FGA PROXY,PH2A81B,BTO","Base Unit",""
"72297","MOD,CDRW,DVD,I,TSHBA,INSP,WW","Miscellaneous",""
"2M202","DOC,EULA,WS8X,ENG","Miscellaneous",""
"21192","CSN,SW,KIT,RH,ES,EM64T,3YR","SW",""
"T439T","ASSY,KYBD,PMST,EL,BL,BEL,V14","Keyboard/Mouse",""
"88128","CON,USB,17P,F,RH,G,ESATA,TH","Mechanical",""
"2P502","SHRD,SECC2,OPPLX,GII","Mechanical",""
"3Y883","ASSY,LCD,17WUXGA,RGBE2E,3MP,2","HUD",""
"18151","HD,146G,SAS,DU,15K,3.5,SGT,HUR","HDD","H1053"
"42154","LCD,15.4,WXGA,CCFL,ANTGL,LGP","LCD",""
"27512","KIT,DOC,P1600SC,ENG,V2","Miscellaneous",""
"2X852","KYBD,100,ITL,M20IXU-BS","Keyboard/Mouse",""
"DM67D","ASSY,BASE,DIS,S2719HS,EMEA,ES8","FPD",""
"96169","ASSY,PWA,CNTL PNL,MSI,X9X0,III","Motherboards",""
"86638","CUS,CRD,PERC4-QCX,SPN","Card",""
"9P919","ASSY,CBL,HDD,HDD SATA1,AUR","Cable","Envelope"
"33113","PNL,FILLER,F3,MCSF,OPTI","Mechanical",""
"25982","ASSY,KYBD,W/P,80,THAI,BLU,3162","Keyboard/Mouse","4U500B"
"69226","CUS,CDRW/DVD,I,24X,HLDS,BLK","Miscellaneous",""
"CD95C","STY,PLSTC,SLVR,PASSV2,CWD","Miscellaneous",""
"DK85D","KIT,SW,LKEY,ESSPL4.0,3","SW",""
"KE83K","LBL,COA,W98SE","Miscellaneous",""
"D847D","PWA,PLN,U,TAOC,I7-1265V,8,5330","Motherboards",""
"3D213","SVC,PWA,PLN,I7-4500U,2,OAK14","Motherboards",""
"73117","CUS,HD,160G,NCQ,7.2K,ULD,SGT-P","HDD",""
"V735V","ASSY,HTSNK,CPU,UMA,QC,N7110","Heatsink",""
"7X307","KIT,CHAS,SAS,300,15,8,2CTL,BCC","Mechanical",""
"94319","HD,73GB,SCSI,U320,15K,68P,MXT","HDD",""
"75587","ASSY,STND,NETPC,W/SCREW,NO BOX","Miscellaneous",""
"P121P","ASSY,MECH,RNDC,BLNK,Z","Mechanical",""
"64336","KIT,DOC,WS3SBS,CAL5,USR,EAST","Miscellaneous",""
"3H343","ASSY,CBL,PDB,REDST,SIG","Cable","Envelope"
"G865G","ASSY,PWA,SLED,MB,C6525,MLK,V3","Motherboards",""
"89988","ASSY,PWA,ENG,NBK,D520,940GML","Motherboards","4U500"
"59125","ASSY,PWA,NBK,I3-4005U,D,H,5480","Motherboards","4U500"
"24482","PWA,PLN,PWS,7865T","Motherboards",""
"8M348","SI,ASSY,DVD/RW,16X,HH,HLDS","Card",""
"KT89K","KYBD,83,US-INTL,BLK,EMS3","Keyboard/Mouse","1W217"
"MX74M","STND,FIX STAND,JARLLY,MGS","Miscellaneous",""
